Time,Vertical Force (single leg)
18713.46815,20.277023
18713.47648,17.072678
18713.48481,17.072678
18713.49315,15.241623
18713.50148,16.15715
18713.50981,17.530441
18713.51815,17.225266
18713.52648,17.225266
18713.53481,17.377853
18713.54315,17.835617
18713.55148,16.92009
18713.55981,16.004562
18713.56815,16.462326
18713.57648,16.462326
18713.58481,17.530441
18713.59315,17.683029
18713.60148,17.377853
18713.60981,17.683029
18713.61815,18.293381
18713.62648,18.293381
18713.63481,17.683029
18713.64315,18.598557
18713.65148,18.140793
18713.65981,17.835617
18713.66815,18.140793
18713.67648,18.445969
18713.68481,18.445969
18713.69315,18.140793
18713.70148,17.683029
18713.70981,16.92009
18713.71815,16.92009
18713.72648,18.598557
18713.73481,17.835617
18713.74315,19.05632
18713.75148,17.530441
18713.75981,17.835617
18713.76815,16.309738
18713.77648,16.309738
18713.78481,17.835617
18713.79315,16.92009
18713.80148,16.462326
18713.80981,16.92009
18713.81815,17.225266
18713.82648,17.225266
18713.83481,15.851974
18713.84315,17.377853
18713.85148,17.377853
18713.85981,16.767502
18713.86815,17.683029
18713.87648,17.683029
18713.88481,15.546799
18713.89315,18.140793
18713.90148,15.851974
18713.90981,17.530441
18713.91815,17.072678
18713.92648,17.072678
18713.93481,40.723801
18713.94315,68.95256
18713.95148,79.328537
18713.95981,88.48381
18713.96815,105.115891
18713.97648,105.115891
18713.98481,137.00676
18713.99315,173.17009
18714.00148,210.401535
18714.00981,256.02533
18714.01815,256.02533
18714.02648,308.362976
18714.03481,351.087585
18714.04315,375.043884
18714.05148,387.098328
18714.05981,394.422546
18714.06815,402.81488
18714.07648,422.040955
18714.08481,422.040955
18714.09315,445.234314
18714.10148,475.141541
18714.10981,502.607361
18714.11815,525.648132
18714.12648,525.648132
18714.13481,549.299255
18714.14315,575.69696
18714.15148,598.279968
18714.15981,618.726746
18714.16815,618.726746
18714.17648,636.579529
18714.18481,662.366882
18714.19315,687.238708
18714.20148,710.432068
18714.20981,734.083191
18714.21815,759.260193
18714.22648,759.260193
18714.23481,779.249207
18714.24315,798.475281
18714.25148,809.003845
18714.25981,811.903015
18714.26815,811.903015
18714.27648,810.224548
18714.28481,800.458923
18714.29315,791.608826
18714.30148,778.486267
18714.30981,759.412781
18714.31815,746.44281
18714.32648,746.44281
18714.33481,734.84613
18714.34315,729.200378
18714.35148,726.91156
18714.35981,723.249451
18714.36815,719.739929
18714.37648,719.739929
18714.38481,717.451111
18714.39315,716.535583
18714.40148,717.298523
18714.40981,718.97699
18714.41815,718.97699
18714.42648,718.671814
18714.43481,721.723572
18714.44315,727.827087
18714.45148,734.540955
18714.45981,741.102234
18714.46815,748.884216
18714.47648,748.884216
18714.48481,756.666199
18714.49315,765.97406
18714.50148,780.317322
18714.50981,792.676941
18714.51815,798.627869
18714.52648,798.627869
18714.53481,804.121033
18714.54315,808.088318
18714.55148,813.276306
18714.55981,814.802185
18714.56815,814.344421
18714.57648,814.344421
18714.58481,811.140076
18714.59315,808.088318
18714.60148,800.306335
18714.60981,791.761414
18714.61815,791.761414
18714.62648,780.622498
18714.63481,774.976746
18714.64315,765.821472
18714.65148,757.581726
18714.65981,750.867859
18714.66815,745.222107
18714.67648,741.40741
18714.68481,741.40741
18714.69315,738.966003
18714.70148,732.404724
18714.70981,725.690857
18714.71815,724.927917
18714.72648,724.927917
18714.73481,720.960632
18714.74315,716.688171
18714.75148,708.14325
18714.75981,689.527527
18714.76815,676.404968
18714.77648,676.404968
18714.78481,653.059021
18714.79315,627.882019
18714.80148,599.805847
18714.80981,570.203796
18714.81815,538.770691
18714.82648,538.770691
18714.83481,487.958923
18714.84315,423.414246
18714.85148,382.520691
18714.85981,346.509949
18714.86815,346.509949
18714.87648,323.011414
18714.88481,310.194031
18714.89315,315.382019
18714.90148,311.414734
18714.90981,297.071472
18714.91815,297.071472
18714.92648,276.777283
18714.93481,262.891785
18714.94315,230.237961
18714.95148,212.690353
18714.95981,199.110031
18714.96815,186.903
18714.97648,186.903
18714.98481,170.881271
18714.99315,156.080246
18715.00148,140.211105
18715.00981,124.647141
18715.01815,98.249435
18715.02648,98.249435
18715.03481,89.094162
18715.04315,81.159592
18715.05148,79.328537
18715.05981,68.037033
18715.06815,68.037033
18715.07648,54.304123
18715.08481,49.726486
18715.09315,44.233322
18715.10148,39.960861
18715.10981,39.960861
18715.11815,29.89006
18715.12648,30.958176
18715.13481,34.925461
18715.14315,26.685715
18715.15148,29.89006
18715.15981,32.026291
18715.16815,20.277023
18715.17648,20.277023
18715.18481,28.974533
18715.19315,43.928146
18715.20148,18.903732
18715.20981,24.396896
18715.21815,23.328781
18715.22648,23.328781
18715.23481,36.756516
18715.24315,22.871017
18715.25148,28.821945
18715.25981,12.189865
18715.26815,37.366867
18715.27648,37.366867
18715.28481,21.650314
18715.29315,38.740158
18715.30148,28.364182
18715.30981,33.55217
18715.31815,27.448654
18715.32648,27.448654
18715.33481,28.059006
18715.34315,22.71843
18715.35148,27.143478
18715.35981,29.127121
18715.36815,18.140793
18715.37648,18.140793
18715.38481,28.821945
18715.39315,18.903732
18715.40148,28.974533
18715.40981,19.05632
18715.41815,34.772873
18715.42648,34.772873
18715.43481,19.208908
18715.44315,25.159836
18715.45148,13.715744
18715.45981,31.263351
18715.46815,53.541183
18715.47648,53.541183
18715.48481,148.145676
18715.49315,279.218689
18715.50148,431.04364
18715.50981,570.814148
18715.51815,570.814148
18715.52648,736.219421
18715.53481,848.524109
18715.54315,940.382019
18715.55148,893.384949
18715.55981,851.575867
18715.56815,900.55658
18715.57648,900.55658
18715.58481,930.616394
18715.59315,966.932312
18715.60148,1005.994812
18715.60981,1014.387146
18715.61815,996.686951
18715.62648,996.686951
18715.63481,982.496277
18715.64315,931.531921
18715.65148,880.414978
18715.65981,815.107361
18715.66815,776.350037
18715.67648,776.350037
18715.68481,772.382751
18715.69315,734.540955
18715.70148,697.156921
18715.70981,680.067078
18715.71815,680.067078
